Source,Geography,Abgrowth,MUNgrowth,StartYear,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Notes
c,AIRDRIE,1,1,2000,19165,19165,21979,23680,25606,27069,29035,31512,34116,38091,39822,43155,45711,49560,54891,58690,,,,,,In 2006 both municipal and federal census was conducted* In 2011 both municipal and federal census was conducted* 
i,AIRDRIE,1,1,2000,,,,,,,,,,,,,,,,,,,,,,
f,AIRDRIE,1,1,2000,,,,,,,,,,,,,,,,,59912,61122,62461,63872,65247,
c,AIRDRIE,1,2,2000,19165,19165,21979,23680,25606,27069,29035,31512,34116,38091,39822,43155,45711,49560,54891,58690,,,,,,
i,AIRDRIE,1,2,2000,,,,,,,,,,,,,,,,,,,,,,
f,AIRDRIE,1,2,2000,,,,,,,,,,,,,,,,,60196,61733,63487,65409,67282,
c,AIRDRIE,1,3,2000,19165,19165,21979,23680,25606,27069,29035,31512,34116,38091,39822,43155,45711,49560,54891,58690,,,,,,
i,AIRDRIE,1,3,2000,,,,,,,,,,,,,,,,,,,,,,
f,AIRDRIE,1,3,2000,,,,,,,,,,,,,,,,,59686,60645,61670,62711,63711,
c,AIRDRIE,2,1,2000,19165,19165,21979,23680,25606,27069,29035,31512,34116,38091,39822,43155,45711,49560,54891,58690,,,,,,
i,AIRDRIE,2,1,2000,,,,,,,,,,,,,,,,,,,,,,
f,AIRDRIE,2,1,2000,,,,,,,,,,,,,,,,,63471,68633,74413,80819,87644,
c,AIRDRIE,2,2,2000,19165,19165,21979,23680,25606,27069,29035,31512,34116,38091,39822,43155,45711,49560,54891,58690,,,,,,
i,AIRDRIE,2,2,2000,,,,,,,,,,,,,,,,,,,,,,
f,AIRDRIE,2,2,2000,,,,,,,,,,,,,,,,,64126,70057,76739,84202,92252,
c,AIRDRIE,2,3,2000,19165,19165,21979,23680,25606,27069,29035,31512,34116,38091,39822,43155,45711,49560,54891,58690,,,,,,
i,AIRDRIE,2,3,2000,,,,,,,,,,,,,,,,,,,,,,
f,AIRDRIE,2,3,2000,,,,,,,,,,,,,,,,,62306,66089,70156,74473,78985,
c,AIRDRIE,3,1,2000,19165,19165,21979,23680,25606,27069,29035,31512,34116,38091,39822,43155,45711,49560,54891,58690,,,,,,
i,AIRDRIE,3,1,2000,,,,,,,,,,,,,,,,,,,,,,
f,AIRDRIE,3,1,2000,,,,,,,,,,,,,,,,,62961,67487,72393,77655,83227,
