cif,municipality,prov,mun,base_year,data,notes
c,"Airdrie",1,1,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!59912!61122!62461!63872!65247@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Airdrie",1,2,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!60196!61733!63487!65409!67282@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Airdrie",1,3,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!59686!60645!61670!62711!63711@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Airdrie",2,1,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!63471!68633!74413!80819!87644@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
