geography,pricing_level_or_population
Lethbridge-Medicine Hat,Large
Camrose-Drumheller,Large
Calgary,Large
Banff-Jasper-Rocky Mountain House,Large
Red Deer,Large
Edmonton,Large
Athabasca-Grande Prairie-Peace River,Large
Wood Buffalo-Cold Lake,Large
Division 1,Large
Division 2,Large
Division 3,Large
Division 4,Small
Division 5,Large
Division 6,Large
Division 7,Large
Division 8,Large
Division 9,Medium
Division 10,Large
Division 11,Large
Division 12,Large
Division 13,Large
Division 14,Medium
Division 15,Medium
Division 16,Large
Division 17,Large
Division 18,Small
Division 19,Large
Division 20,Small
Edmonton,Large
Brooks,Medium
Lethbridge,Large
Okotoks,Medium
Calgary,Large
Canmore,Medium
Red Deer,Large
Camrose,Medium
Edmonton,Large
Lloydminister,Medium
Cold Lake,Medium
Grande Prairie,Large
Wood Buffalo,Large
Wetaskiwin,Medium
Aspen View Public School Division No. 78,Medium
Battle River Regional Division No. 31,Medium
Black Gold Regional Division No. 18,Medium
Buffalo Trail Public Schools Regional Division No. 28,Medium
Calgary School District No. 19,Large
Canadian Rockies Regional Division No. 12,Medium
Chinook's Edge School Division No. 73,Medium
Clearview School Division No. 71,Medium
Edmonton School District No. 7,Large
Elk Island Public Schools Regional Division No. 14,Large
Foothills School Division No. 38,Medium
Fort McMurray Public School District No. 2833,Large
Fort Vermilion School Division No. 52,Medium
Golden Hills School Division No. 75,Medium
Grande Prairie School District No. 2357,Large
Grande Yellowhead Public School Division No. 77,Medium
Grasslands Regional Division No. 6,Medium
High Prairie School Division No. 48,Medium
Horizon School Division No. 67,Medium
Lethbridge School District No. 51,Large
Livingstone Range School Division No. 68,Medium
Lloydminster Public School Division,Medium
Medicine Hat School District No. 76,Medium
Northern Gateway Regional Division No. 10,Medium
Northern Lights School Division No. 69,Medium
Northland School Division No. 61,Medium
Palliser Regional Division No. 26,Medium
Parkland School Division No. 70,Medium
Peace River School Division No. 10,Medium
Peace Wapiti School Division No. 76,Medium
Pembina Hills Regional Division No. 7,Medium
Prairie Land Regional Division No. 25,Medium
Prairie Rose School Division No. 8,Medium
Red Deer Public School District No. 104,Large
Rocky View School Division No. 41,Medium
St. Albert Public School District No. 5565,Medium
St. Paul Education Regional Division No. 1,Medium
Sturgeon School Division No. 24,Medium
Westwind School Division No. 74,Medium
Wetaskiwin Regional Division No. 11,Medium
Wild Rose School Division No. 66,Medium
Wolf Creek School Division No. 72,Medium
Calgary Roman Catholic Separate School District No. 1,Large
Christ the Redeemer Catholic Separate Regional Division No. 3,Medium
East Central Alberta Catholic Separate Schools Regional Division No. 16,Medium
Edmonton Catholic Separate School District No. 7,Large
Elk Island Catholic Separate Regional Division No. 41,Large
Evergreen Catholic Separate Regional Division No. 2,Medium
Fort McMurray Roman Catholic Separate School District No. 32,Large
Grande Prairie Roman Catholic Separate School District No. 28,Large
Greater St. Albert Roman Catholic Separate School District No. 734,Large
Holy Family Catholic Regional Division No. 37,Medium
Holy Spirit Roman Catholic Separate Regional Division No. 4,Medium
Lakeland Roman Catholic Separate School District No. 150,Medium
Living Waters Catholic Regional Division No. 42,Medium
Lloydminster Roman Catholic Separate School Division,Medium
Medicine Hat Catholic Separate Regional Division No. 20,Medium
Red Deer Catholic Regional Division No. 39,Large
St. Thomas Aquinas Roman Catholic Separate Regional Division No. 38,Medium
East Central Francophone Education Region No. 3,Medium
Greater North Central Francophone Education Region No. 2,Medium
Northwest Francophone Education Region No. 1,Medium
The Southern Francophone Education Region No. 4,Medium
Almadina School Society,Medium
Aurora School Ltd.,Medium
Boyle Street Education Centre,Medium
Calgary Arts Academy Society,Medium
Calgary Girls' School Society,Medium
CAPE - Centre for Academic and Personal Excellence Institute,Medium
Connect Charter School Society,Medium
Foundations for the Future Charter Academy Charter School Society,Medium
Mother Earth's Children's Charter School Society,Medium
New Horizons Charter School Society,Medium
Suzuki Charter School Society,Medium
Valhalla School Foundation,Medium
Westmount Charter School Society,Medium
South Zone,Large
Calgary Zone,Large
Central Zone,Large
Edmonton Zone,Large
North Zone,Large
Capital Region,Large
Calgary Region,Large
NADC,Large
